policy = 0,
core 0: 2.5802 IPC
core 0: 3.5470 IPC
core 0: 1.4640 IPC
core 0: 3.3200 IPC
core 0: 3.7107 IPC
core 0: 3.3862 IPC
core 0: 3.5944 IPC
core 0: 2.2487 IPC
core 0: 3.2847 IPC
core 0: 3.6531 IPC
core 0: 2.6273 IPC
core 0: 3.9170 IPC
core 0: 1.2580 IPC
core 0: 2.8117 IPC
core 0: 3.6472 IPC
core 0: 3.9759 IPC
core 0: 3.2380 IPC
core 0: 1.6051 IPC
core 0: 1.9139 IPC
core 0: 3.4528 IPC
core 0: 3.7198 IPC
core 0: 2.5053 IPC
core 0: 2.4891 IPC
core 0: 3.0973 IPC
core 0: 1.3701 IPC
policy = 1
core 0: 2.5670 IPC
core 0: 3.5120 IPC
core 0: 1.4164 IPC
core 0: 3.3156 IPC
core 0: 3.7107 IPC
core 0: 3.3249 IPC
core 0: 3.6515 IPC
core 0: 2.2944 IPC
core 0: 3.2827 IPC
core 0: 3.6418 IPC
core 0: 2.5964 IPC
core 0: 3.9140 IPC
core 0: 1.1876 IPC
core 0: 2.8117 IPC
core 0: 3.6260 IPC
core 0: 3.9771 IPC
core 0: 3.2322 IPC
core 0: 1.5843 IPC
core 0: 1.9186 IPC
core 0: 3.4427 IPC
core 0: 3.6863 IPC
core 0: 2.5438 IPC
core 0: 2.3606 IPC
core 0: 3.0823 IPC
core 0: 1.4984 IPC
