policy = 2
core 0: 2.6684 IPC
core 0: 3.5470 IPC
core 0: 1.4639 IPC
core 0: 3.3201 IPC
core 0: 3.7107 IPC
core 0: 0.8236 IPC
core 0: 3.3861 IPC
core 0: 3.5944 IPC
core 0: 2.2487 IPC
core 0: 3.2847 IPC
core 0: 3.6525 IPC
core 0: 2.6273 IPC
core 0: 3.9170 IPC
core 0: 1.2579 IPC
core 0: 2.8117 IPC
core 0: 3.6469 IPC
core 0: 3.9772 IPC
core 0: 3.2380 IPC
core 0: 1.6050 IPC
core 0: 1.9139 IPC
core 0: 3.5079 IPC
core 0: 3.7198 IPC
core 0: 2.5052 IPC
core 0: 2.4891 IPC
core 0: 3.0973 IPC
core 0: 1.7025 IPC
core 0: 0.5175 IPC
